Feature ID,Median Household Income,Median Earnings - Total,Per Capita Income,Total Population,County,State,County Code,Chapter 7,Chapter 13,Total Individual,Per Capita Individual
country:us/state:tn/county:shelby,51657,31571,30104,936374,Shelby, TN,47157,1572,3951,5523,589.828423258228
country:us/state:tn/county:van_buren,42724,25704,20634,5760,Van Buren, TN,47175,2,4,6,104.16666666666667
country:us/state:tn/county:madison,48161,30875,26722,97625,Madison, TN,47113,106,233,339,347.24711907810496
country:us/state:tn/county:clay,32167,24781,18983,7654,Clay, TN,47027,14,3,17,222.1060883198328
country:us/state:tn/county:sequatchie,49370,27602,23050,14816,Sequatchie, TN,47153,20,27,47,317.2246220302376
country:us/state:tn/county:marshall,53197,31943,25410,32965,Marshall, TN,47117,39,68,107,324.58668284544217
country:us/state:tn/county:mcminn,43285,29126,23885,53053,McMinn, TN,47107,78,110,188,354.36261851356187
country:us/state:tn/county:johnson,36004,23743,22107,17753,Johnson, TN,47091,27,8,35,197.14977750239396
country:us/state:tn/county:wayne,41427,25794,20689,16693,Wayne, TN,47181,10,8,18,107.8296291858863
country:us/state:tn/county:hamblen,43619,28628,23517,64132,Hamblen, TN,47063,136,41,177,275.9932638932202
country:us/state:tn/county:polk,43306,29837,25405,16814,Polk, TN,47139,27,37,64,380.6351849649102
country:us/state:tn/county:pickett,39554,24775,24907,5079,Pickett, TN,47137,5,1,6,118.13349084465446
country:us/state:tn/county:trousdale,56321,30670,24795,10231,Trousdale, TN,47169,7,5,12,117.29058743035871
country:us/state:tn/county:grundy,40516,26076,20592,13344,Grundy, TN,47061,11,13,24,179.85611510791367
country:us/state:tn/county:morgan,41333,28862,20204,21545,Morgan, TN,47129,29,10,39,181.01647714086795
country:us/state:tn/county:dekalb,45511,32503,25399,19847,DeKalb, TN,47041,30,13,43,216.65742933440822
country:us/state:tn/county:monroe,42429,28607,23207,46064,Monroe, TN,47123,70,59,129,280.0451545675582
country:us/state:tn/county:rhea,42206,25785,22336,32719,Rhea, TN,47143,32,79,111,339.25242214004095
country:us/state:tn/county:greene,42595,27709,25190,68834,Greene, TN,47059,187,41,228,331.2316587732806
country:us/state:tn/county:roane,53367,30804,30209,53075,Roane, TN,47145,105,27,132,248.7046632124352
country:us/state:tn/county:henry,40502,27095,24124,32284,Henry, TN,47079,45,34,79,244.7032585801016
country:us/state:tn/county:gibson,43171,29697,23211,49228,Gibson, TN,47053,64,110,174,353.45738197773625
country:us/state:tn/county:macon,37430,28116,22527,23842,Macon, TN,47111,32,20,52,218.10250817884406
country:us/state:tn/county:warren,41125,27050,22802,40702,Warren, TN,47177,49,45,94,230.94688221709006
country:us/state:tn/county:decatur,42031,29088,23857,11686,Decatur, TN,47039,8,25,33,282.38918363854185
country:us/state:tn/county:hickman,43596,28646,22856,24813,Hickman, TN,47081,29,26,55,221.65800185386695
country:us/state:tn/county:smith,48068,32183,28797,19740,Smith, TN,47159,22,21,43,217.83181357649443
country:us/state:tn/county:dickson,53076,32060,27115,52680,Dickson, TN,47043,49,59,108,205.0113895216401
country:us/state:tn/county:lake,35191,25293,15732,7401,Lake, TN,47095,7,14,21,283.7454398054317
country:us/state:tn/county:cumberland,45958,27360,25832,59216,Cumberland, TN,47035,86,47,133,224.60145906511752
country:us/state:tn/county:crockett,44717,30311,23771,14399,Crockett, TN,47033,15,26,41,284.7419959719425
country:us/state:tn/county:anderson,50392,30348,28455,76061,Anderson, TN,47001,138,51,189,248.48476880398627
country:us/state:tn/county:dyer,44185,30274,27710,37416,Dyer, TN,47045,60,62,122,326.0637160573017
country:us/state:tn/county:weakley,39937,25584,22755,33510,Weakley, TN,47183,22,34,56,167.11429424052523
country:us/state:tn/county:fentress,36520,23495,20093,18213,Fentress, TN,47049,25,12,37,203.15159501455003
country:us/state:tn/county:fayette,60711,37093,33383,40164,Fayette, TN,47047,53,78,131,326.1627327955383
country:us/state:tn/county:washington,48334,28221,29656,127805,Washington, TN,47179,325,77,402,314.54168459762917
country:us/state:tn/county:blount,56667,31301,30548,129927,Blount, TN,47009,298,104,402,309.4045117642984
country:us/state:tn/county:carter,38092,27337,23205,56433,Carter, TN,47019,157,30,187,331.3663990927294
country:us/state:tn/county:williamson,112962,50456,52702,225389,Williamson, TN,47187,103,72,175,77.64354072292792
country:us/state:tn/county:jackson,35207,25084,21037,11682,Jackson, TN,47087,13,12,25,214.00445129258688
country:us/state:tn/county:grainger,44064,27016,23595,23101,Grainger, TN,47057,41,14,55,238.0849313882516
country:us/state:tn/county:cannon,55330,34679,26435,14178,Cannon, TN,47015,14,21,35,246.8613344618423
country:us/state:tn/county:union,44671,30788,24010,19488,Union, TN,47173,29,9,38,194.99178981937604
country:us/state:tn/county:hamilton,55070,32668,32839,360919,Hamilton, TN,47065,568,715,1283,355.48142380977447
country:us/state:tn/county:knox,57470,32049,33229,461104,Knox, TN,47093,742,258,1000,216.8708143932822
country:us/state:tn/county:cheatham,61913,35270,27893,40181,Cheatham, TN,47021,31,36,67,166.74547671785172
country:us/state:tn/county:moore,57708,35850,30658,6378,Moore, TN,47127,5,5,10,156.7889620570712
country:us/state:tn/county:cocke,36716,26150,21867,35552,Cocke, TN,47029,60,42,102,286.9036903690369
country:us/state:tn/county:giles,49614,31355,25690,29285,Giles, TN,47055,40,41,81,276.59211200273177
country:us/state:tn/county:lewis,37277,26073,21516,12027,Lewis, TN,47101,14,13,27,224.49488650536296
country:us/state:tn/county:carroll,42637,27175,22394,27886,Carroll, TN,47017,39,33,72,258.19407588037006
country:us/state:tn/county:haywood,37905,27488,21839,17623,Haywood, TN,47075,26,75,101,573.1146796799637
country:us/state:tn/county:mcnairy,39161,30047,20934,25844,McNairy, TN,47109,41,39,80,309.5496053242532
country:us/state:tn/county:claiborne,36835,26621,21566,31732,Claiborne, TN,47025,45,21,66,207.9919324341359
country:us/state:tn/county:meigs,49167,33618,24525,12104,Meigs, TN,47121,17,29,46,380.03965631196303
country:us/state:tn/county:hardeman,40304,28984,18172,25443,Hardeman, TN,47069,28,72,100,393.0354124906654
country:us/state:tn/county:robertson,63307,34436,29524,70280,Robertson, TN,47147,87,89,176,250.4268639726807
country:us/state:tn/county:overton,37197,29203,21808,22068,Overton, TN,47133,53,20,73,330.7957223128512
country:us/state:tn/county:sullivan,46684,28965,28429,157050,Sullivan, TN,47163,538,79,617,392.86851321235275
country:us/state:tn/county:bradley,51331,30122,26655,105749,Bradley, TN,47011,221,273,494,467.1438973418188
country:us/state:tn/county:hancock,30136,24756,23728,6587,Hancock, TN,47067,13,2,15,227.72126916654014
country:us/state:tn/county:rutherford,67429,34486,30159,315815,Rutherford, TN,47149,441,333,774,245.08018935136076
country:us/state:tn/county:lincoln,49485,30975,26965,33924,Lincoln, TN,47103,23,24,47,138.54498290295956
country:us/state:tn/county:obion,39615,26622,23375,30365,Obion, TN,47131,43,47,90,296.3938745265931
country:us/state:tn/county:davidson,60388,35172,36440,687488,Davidson, TN,47037,749,576,1325,192.7306367529324
country:us/state:tn/county:maury,57170,33318,28970,91976,Maury, TN,47119,173,167,340,369.66165086544316
country:us/state:tn/county:hardin,40682,29028,24243,25715,Hardin, TN,47071,23,37,60,233.326852031888
country:us/state:tn/county:sumner,67204,35878,33851,183437,Sumner, TN,47165,260,221,481,262.2153654933301
country:us/state:tn/county:benton,37512,25313,22636,16140,Benton, TN,47005,21,19,40,247.83147459727385
country:us/state:tn/county:tipton,61291,34976,28457,61447,Tipton, TN,47167,90,126,216,351.52245024167166
country:us/state:tn/county:bledsoe,44122,27629,21700,14836,Bledsoe, TN,47007,6,16,22,148.28794823402532
country:us/state:tn/county:hawkins,41924,27547,24695,56611,Hawkins, TN,47073,161,40,201,355.05467135362386
country:us/state:tn/county:marion,49432,31535,25467,28538,Marion, TN,47115,43,68,111,388.9550774406055
country:us/state:tn/county:unicoi,41890,26681,23455,17811,Unicoi, TN,47171,30,6,36,202.122283981809
country:us/state:tn/county:humphreys,45667,26594,25428,18435,Humphreys, TN,47085,21,23,44,238.67643070246814
country:us/state:tn/county:montgomery,57541,32372,26923,200180,Montgomery, TN,47125,364,214,578,288.74013387950845
country:us/state:tn/county:stewart,45809,28410,24113,13427,Stewart, TN,47161,18,8,26,193.63968123929396
country:us/state:tn/county:putnam,44259,27531,24946,77447,Putnam, TN,47141,136,75,211,272.4443813188374
country:us/state:tn/county:campbell,39803,27457,24212,39797,Campbell, TN,47013,77,33,110,276.40274392542153
country:us/state:tn/county:houston,42711,27190,22360,8164,Houston, TN,47083,12,3,15,183.73346398824106
country:us/state:tn/county:franklin,51585,30259,28317,41725,Franklin, TN,47051,53,26,79,189.33493109646494
country:us/state:tn/county:perry,41034,30233,27970,7962,Perry, TN,47135,4,6,10,125.59658377292139
country:us/state:tn/county:jefferson,49139,27088,25159,53679,Jefferson, TN,47089,104,53,157,292.47936809553084
country:us/state:tn/county:white,41998,27823,22040,26800,White, TN,47185,48,34,82,305.97014925373134
country:us/state:tn/county:coffee,50351,29521,26557,55209,Coffee, TN,47031,86,58,144,260.8270390697169
country:us/state:tn/county:lauderdale,39896,29473,18515,25989,Lauderdale, TN,47097,30,73,103,396.3215206433491
country:us/state:tn/county:sevier,49610,25368,25283,97068,Sevier, TN,47155,217,42,259,266.8232579222813
country:us/state:tn/county:wilson,75991,39764,34575,136666,Wilson, TN,47189,138,106,244,178.53745628027454
country:us/state:tn/county:henderson,43305,31140,22695,27977,Henderson, TN,47077,40,59,99,353.8621010115452
country:us/state:tn/county:chester,51946,31434,22629,17190,Chester, TN,47023,14,38,52,302.50145433391504
country:us/state:tn/county:lawrence,43614,29666,21720,43390,Lawrence, TN,47099,76,40,116,267.34270569255585
country:us/state:tn/county:scott,38864,29413,20849,21969,Scott, TN,47151,32,8,40,182.07474168146024
country:us/state:tn/county:loudon,58065,30929,31478,52340,Loudon, TN,47105,83,32,115,219.7172334734429
country:us/state:tn/county:bedford,50415,28929,24864,48292,Bedford, TN,47003,53,78,131,271.26646235401313
